Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,ID,Venue,Venue Latitude,Venue Longitude,Venue Category
"Regent Park, Harbourfront",43.6542599,-79.3606359,51ccc048498ec7792efc955e,Corktown Common,43.655617799749734,-79.3562113397429,Park
"Regent Park, Harbourfront",43.6542599,-79.3606359,4c3e1eaa6faac9b66dc60d76,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
"Regent Park, Harbourfront",43.6542599,-79.3606359,57cd9d20498e6ab8342980e2,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,51853a73498e4d97a8b20831,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,574c229e498ebb5c6b257902,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
"Regent Park, Harbourfront",43.6542599,-79.3606359,57e0745a498ea809dbf75f68,Souk Tabule,43.65375556880743,-79.35439006096168,Mediterranean Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,5653a96f498e99c91027730b,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4bb68165f562ef3b88483097,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ddfbaca185035f3a44e8df6,Underpass Park,43.65576361726024,-79.3548059463501,Park
"Regent Park, Harbourfront",43.6542599,-79.3606359,5619551a498e9e35fce2256b,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b156a02f964a5207fac23e3,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b0978e1f964a520cd1723e3,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,58c7fbf7424f9373e6427e99,Starbucks,43.651613,-79.364917,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4adb58f7f964a520412621e3,Balzac's Coffee,43.649797141476185,-79.35914199644303,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,566e1294498e3f6629006bc3,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
"Regent Park, Harbourfront",43.6542599,-79.3606359,53a22c92498ec91fda7ce133,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,50760559e4b0e8c7babe2497,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
"Regent Park, Harbourfront",43.6542599,-79.3606359,551128d4498e2e50d8f03c5b,Spotify,43.64991916262922,-79.35886149447444,Tech Startup
"Regent Park, Harbourfront",43.6542599,-79.3606359,4fad7eb3e4b0b0320d241fa4,LCBO,43.65098233828489,-79.36536081685296,Liquor Store
"Regent Park, Harbourfront",43.6542599,-79.3606359,4af59046f964a520e0f921e3,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ad776eef964a520e20a21e3,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347,Italian Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,54d37e23498e5e29bcb35362,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
"Regent Park, Harbourfront",43.6542599,-79.3606359,51ddecee498e1ffd34185d2f,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,4d84d98181fdb1f7d4a704c0,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ada57aff964a520972121e3,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae5b91ff964a520a6a121e3,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
"Regent Park, Harbourfront",43.6542599,-79.3606359,4e8b7fa1cc2112f67517660a,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
"Regent Park, Harbourfront",43.6542599,-79.3606359,4c16a548955976b0cadea4f6,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
"Regent Park, Harbourfront",43.6542599,-79.3606359,581258b738fa5bbefe4c0857,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b58dd55f964a5208f6f28e3,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
"Regent Park, Harbourfront",43.6542599,-79.3606359,4bb52a8bf562ef3b7d992e97,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
"Regent Park, Harbourfront",43.6542599,-79.3606359,5b7ccd5e1f8ed6002c9bd7d0,The Aviary,43.65363394725125,-79.35466212072043,Pub
"Regent Park, Harbourfront",43.6542599,-79.3606359,5092fe87e4b0476c6e7375e2,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
"Regent Park, Harbourfront",43.6542599,-79.3606359,4bb680ed1344b713b8a09d04,Berkeley Street Theatre,43.65051724574011,-79.36417258802608,Theater
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae06ddef964a5203b7f21e3,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter
"Regent Park, Harbourfront",43.6542599,-79.3606359,51828372e4b0ea1bac906b00,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
"Regent Park, Harbourfront",43.6542599,-79.3606359,4af4abe2f964a520eef421e3,EQ3,43.65129553904327,-79.36825667378011,Furniture / Home Store
"Regent Park, Harbourfront",43.6542599,-79.3606359,55be4bd4498e08d9ccc061e4,NEO COFFEE BAR,43.65070234158804,-79.36925939681731,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4cbdc6784495721ea262617a,Fusaro's,43.65334679826618,-79.36951731755141,Italian Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,502652fee4b0e6861eab1f29,Merchants of Green Coffee,43.659916,-79.353963,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,5022a0cde4b0c3bc4aff8d5c,The Black Canary Espresso Bar,43.651868733003134,-79.36850642387674,Café
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ade8ea8f964a5205a7621e3,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
"Regent Park, Harbourfront",43.6542599,-79.3606359,4f776828e4b040208c312fc5,Greg's Ice Cream,43.65010164153305,-79.3604404498866,Ice Cream Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4af9fc95f964a520ca1522e3,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b8c46f3f964a5200cc832e3,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
"Regent Park, Harbourfront",43.6542599,-79.3606359,589b45bfaf5c141e6c9e0c3b,FAMO Sandwiches,43.654064,-79.369515,Sandwich Place
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ad4c05df964a5204ef620e3,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b0be254f964a520693423e3,Berkeley Bistro,43.64995993956305,-79.36388845370516,Gastropub
"Regent Park, Harbourfront",43.6542599,-79.3606359,553ab5bc498e111b32cd18f5,Dark Horse Espresso Bar,43.65849807585409,-79.35235639621163,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4cc8c0bbd338236a7cc49e7c,St Lawrence Community Centre Pool,43.64955698056156,-79.36506251486433,Gym Pool
"Regent Park, Harbourfront",43.6542599,-79.3606359,57b897ae498e3e26328a955e,Starbucks,43.651178,-79.367955,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,58233f576a80ef616dbf88ab,White Lily Diner,43.65867460038718,-79.35107379221633,Diner
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae5f583f964a52084a321e3,The George Street Diner,43.65297,-79.371467,Diner
"Regent Park, Harbourfront",43.6542599,-79.3606359,4dcbcbc47d8b84bcd55b7439,Quad East,43.65868140211272,-79.35127335463245,Gym / Fitness Center
"Regent Park, Harbourfront",43.6542599,-79.3606359,561ffc99498e1468dac63cdd,Schnitzel Queen,43.65423906004429,-79.37053284604036,German Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,505af105e4b0df441225430b,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue
"Regent Park, Harbourfront",43.6542599,-79.3606359,56423155498e78e89181cb44,Cluck Clucks,43.64964842651325,-79.3664078057654,Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,4e11d1fc1495c8d31bc9a291,Young People's Theatre,43.64979311983223,-79.36888127403039,Theater
"Regent Park, Harbourfront",43.6542599,-79.3606359,505bacb2e4b0474d876eb78c,Paintbox Bistro,43.660050475903624,-79.36285470971839,Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,50899387e4b055a756b254fc,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
"Regent Park, Harbourfront",43.6542599,-79.3606359,4fff1f96e4b042ae8acddca5,Fahrenheit Coffee,43.65238358726612,-79.37271903848271,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4af21e78f964a520fae521e3,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b72f550f964a5202e922de3,Mystic Muffin,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,4af61930f964a520260122e3,Bellisimo Pizzeria & Ristorante,43.648748,-79.368684,Pizza Place
"Regent Park, Harbourfront",43.6542599,-79.3606359,59d00b871ffe9715e465071c,The Abnormal Beauty Company,43.649892147380996,-79.3610051085219,Cosmetics Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,518e6d3a498e3e5f52a938e3,Bulk Barn,43.64999368528393,-79.37009943145777,Grocery Store
"Regent Park, Harbourfront",43.6542599,-79.3606359,587d61b42868046f4347acc5,The Poet Cafe,43.65063683072023,-79.37127573699792,Café
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae7c386f964a52094ad21e3,Betty's,43.65158716627337,-79.36751495404803,Bar
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b08208af964a5205f0423e3,Le Petit Déjeuner,43.650822486200305,-79.37043860004992,Breakfast Spot
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ad8d551f964a5201f1521e3,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
"Regent Park, Harbourfront",43.6542599,-79.3606359,4fcd3bc3e4b083992de0e315,Lower Don Recreational Trail,43.64841358107559,-79.35471644168172,Athletics & Sports
"Regent Park, Harbourfront",43.6542599,-79.3606359,4beb31b662c0c9282ed9e1d4,OIP Dance Centre,43.6529118239704,-79.37175766194797,Dance Studio
"Regent Park, Harbourfront",43.6542599,-79.3606359,4bbe0ab4593fef3b2b360456,Bolet's Burrito,43.64994971668551,-79.36757817556989,Burrito Place
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ee1490961aff90fe37e76da,Qi sushi,43.66255180762697,-79.36425843422568,Sushi Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b64d531f964a52090d32ae3,On The Rocks,43.65040844699981,-79.3683544809487,Karaoke Bar
"Regent Park, Harbourfront",43.6542599,-79.3606359,5809380538fa964fcc2f75e6,Eastbound Brewing Company,43.65900780122884,-79.35024989233756,Brewery
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ad883f6f964a520f01121e3,The Cannonball,43.65829890360228,-79.35239704706817,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,59cd8a18e179105e08f003c6,Sukhothai,43.653700903664294,-79.3544465359079,Thai Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae666dbf964a520dca621e3,Ontario Restaurant,43.65888321199789,-79.36836906142996,Diner
"Regent Park, Harbourfront",43.6542599,-79.3606359,5502123f498ec719aab7c5f3,True True Diner,43.65059045161207,-79.37146736526827,Diner
"Regent Park, Harbourfront",43.6542599,-79.3606359,4d126fd3d1848cfad5cfbb71,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b845382f964a520dc2e31e3,Mercedes-Benz Downtown,43.66143119502613,-79.35658517368444,Auto Dealership
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b646bedf964a520d5b12ae3,Pet Cuisine,43.64997022077983,-79.36992359146845,Pet Store
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b8acdfdf964a520378232e3,The Beer Store,43.657773,-79.3574632,Beer Store
"Regent Park, Harbourfront",43.6542599,-79.3606359,4bca1f87b6c49c74e3d28f91,Moss Park Arena,43.65488712314853,-79.36977129447679,Skating Rink
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae8cf93f964a5207eb221e3,The Jason George,43.64982374283024,-79.37109506587147,Pub
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae0ab5ff964a520758121e3,Prohibition Gastrohouse,43.65881348516176,-79.35032270812795,Gastropub
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae9c117f964a52019b621e3,cafe 260,43.653183236880515,-79.37011452592975,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ba15038f964a520a1ab37e3,The Keating Channel Pub & Grill,43.64770891874664,-79.35336913940688,Pub
"Regent Park, Harbourfront",43.6542599,-79.3606359,4adc95f3f964a520912d21e3,Sushi Bar,43.65879825022111,-79.35008516753265,Sushi Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,53a4b638498edce8c3153b44,Regent Park,43.660382523982804,-79.36181011844143,Park
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b2cf78cf964a52077cb24e3,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,55fe0dd0498ed5a5423b6d17,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy
"Regent Park, Harbourfront",43.6542599,-79.3606359,52af6dc5498e33995b0bbf03,Sultan Of Samosas,43.66022749787444,-79.36622571571063,Indian Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,5a6e0c605f68b93a075d0bc1,Tim Hortons,43.659935,-79.3613063,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,548bb041498eff940205b644,King's Place647-352-0786,43.658278219451866,-79.37092509166455,Pakistani Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b16e8b6f964a52051bf23e3,Roots,43.71821373389962,-79.46389305304558,Boutique
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4ccc5aebee23a14370591ea8,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b12e300f964a520299023e3,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,54c3d9ed498e50c810920ee4,BATLgrounds,43.72405414025907,-79.46339833125026,Athletics & Sports
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b5f1f11f964a52047a729e3,Yuki Japanese Restaurant,43.72060971477955,-79.45611946822187,Sushi Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,55fc4738498ea821b8d881ae,The Burger's Priest,43.7207893797841,-79.45676631978057,Fast Food Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,52ae475e498e1d931502955d,Krystos,43.71851626753137,-79.45585522412502,Greek Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b0ecb01f964a5201b5b23e3,Harvey's,43.71533697302975,-79.45539587874885,Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4db7044fa86e8d2707b7795e,Popeyes Louisiana Kitchen,43.72247710118178,-79.45647214024791,Fried Chicken Joint
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b0dacf6f964a520b54d23e3,Marche Istanbul,43.71912892212775,-79.45763083788877,Grocery Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,558371db498eb7238b3505eb,Caffè Demetre,43.72017931839126,-79.45621855808365,Dessert Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b9580fef964a52044a634e3,Mary Brown's Famous Chicken,43.71830860417442,-79.45570632677568,Fried Chicken Joint
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4fb903b8be774df11d9cacbc,Parker Pet Care,43.723332783602714,-79.47434073234855,Pet Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4af79aadf964a520070a22e3,Playtime Bowl,43.717426948485006,-79.4581475917178,Bowling Alley
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b6f005af964a520f1d52ce3,Dollarama,43.720728,-79.457467,Discount Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,5c426e34065ef5002c050b40,Tora Aburi Sushi,43.724257,-79.455383,Sushi Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4bf5b47594b2a593c623acee,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4be8263a947820a1a283b4db,TD Canada Trust,43.71664740474467,-79.4563113060031,Bank
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4fa4ae40e4b02443361f27c4,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4be35c5eb02ec9b64c644fc0,Red Lobster,43.718952,-79.456245,Seafood Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4e418f4f1f6e4d7545b7c976,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4becbb0b0ddaa593c5041ec3,Burger King,43.714209646677354,-79.45639595389366,Fast Food Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b6efb06f964a52085d42ce3,Grande Cheese,43.720145524565304,-79.4579511008545,Cheese Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4fd29768e4b008dc358830f5,Viet House,43.71832569840717,-79.45737310259787,Vietnamese Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,5218128011d2f9bf38d27de8,Sugar & Spice,43.720714875348285,-79.45666046363836,Dessert Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4c581533d12a20a1941768bd,Tim Hortons,43.722954436247576,-79.45606470108032,Coffee Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4ae8b081f964a5207cb121e3,Rinx Real Entertainment Centre,43.71784220022086,-79.46223069665501,Event Space
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,5a2b0a38947c0509784b0e85,Ardene,43.71894162758098,-79.46388005195001,Accessories Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4baf6adff964a52035fe3be3,International Clothiers,43.717997,-79.46672,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4c3b9356def90f47a72cfe2d,Urban Behavior,43.71889855313541,-79.46469467303574,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4dfa9b5452b145696e344b7c,Fairweather,43.71787829,-79.46724603,Women's Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4bae442ff964a520b69a3be3,Party City,43.71941805471303,-79.459316806156,Miscellaneous Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b06df4af964a520ebf122e3,Subway,43.71646929743055,-79.4548979060329,Sandwich Place
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4e24384e22717a5245e621a4,Tim Hortons,43.71715541275592,-79.45657432079315,Coffee Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4af3820ef964a5203dee21e3,Shoeless Joe's,43.718625360000004,-79.45599258,Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4bf586e0004ed13a6bbe40a0,Si Vous Play Sports,43.72148036234913,-79.46752487479537,Shoe Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b896e06f964a520803532e3,Staples,43.716930535423025,-79.45647239685053,Paper / Office Supplies Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b008142f964a520fc3e22e3,Wendy’s,43.71299143087544,-79.46135383914225,Fast Food Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4c228e6e13c00f4715b287de,Caledonia Park,43.712582990081195,-79.46521655298696,Park
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,4b8951ebf964a520522b32e3,Toronto TAPS,43.712714081081764,-79.46195029095392,Furniture / Home Store
